epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,95.7132,2.04998,3.10208,1.06971,0.00024,0.01079,0.00017,3e-05,1.87353,4.01393,1.09429,0.000240525,0.000240525,0.000240525
3,169.41,1.90026,1.91789,1.02838,0.01226,0.193,0.14575,0.07623,1.80796,3.54398,1.01483,0.000364184,0.000364184,0.000364184
4,240.474,1.87374,1.5112,1.0357,0.04096,0.54377,0.48206,0.24185,1.75533,2.94839,0.99699,0.000485296,0.000485296,0.000485296
5,358.706,1.86102,1.35203,0.99497,0.98955,0.12226,0.56592,0.29901,1.64811,2.54518,0.98521,0.000603861,0.000603861,0.000603861
6,482.208,1.71908,1.18943,0.97529,0.92903,0.19887,0.57198,0.29936,1.6677,2.42645,1.00044,0.00071988,0.00071988,0.00071988
7,607.708,1.66669,1.12257,0.97395,0.9907,0.25457,0.65492,0.34229,1.6191,2.30438,0.99159,0.000833353,0.000833353,0.000833353
8,733.306,1.59833,1.07188,0.96942,0.87731,0.30598,0.69692,0.3723,1.57573,2.12355,0.97158,0.000944279,0.000944279,0.000944279
9,850.377,1.67767,1.24324,1.05539,0.8023,0.49183,0.71728,0.38003,1.56039,1.87067,0.95358,0.00105266,0.00105266,0.00105266
10,959.337,1.62549,1.01714,0.96927,0.81273,0.50946,0.71961,0.35541,1.6651,1.80972,0.98328,0.00115849,0.00115849,0.00115849
11,1067.5,1.60022,0.9692,0.96986,0.84189,0.65567,0.75794,0.39986,1.53811,1.63279,0.95202,0.00126178,0.00126178,0.00126178
12,1175.93,1.60658,0.96344,0.96899,0.85826,0.71936,0.76596,0.38704,1.60554,1.36439,0.9616,0.00127338,0.00127338,0.00127338
13,1286.56,1.55331,0.94693,0.95832,0.82359,0.73546,0.79204,0.4379,1.46758,1.24636,0.93374,0.00125923,0.00125923,0.00125923
14,1390.91,1.56507,0.92191,0.95823,0.79742,0.74378,0.79107,0.43267,1.46307,1.16239,0.9373,0.00124509,0.00124509,0.00124509
15,1505.62,1.54997,0.91052,0.95757,0.87703,0.78001,0.82638,0.45659,1.41867,1.05885,0.92778,0.00123094,0.00123094,0.00123094
16,1574.98,1.53944,0.91491,0.96056,0.86772,0.77135,0.82356,0.45412,1.39448,0.9845,0.92465,0.00121679,0.00121679,0.00121679
